Nr. Crt.,Song,Artist,Sounds Nr.,Record Label,TikTok 24h%,TikTok 24h,TikTok 7d,TikTok Total,Spotify 24h%,Spotify 24h,Spotify 7d,Spotify Total,YouTube 24h%,YouTube 24h,YouTube 7d,YouTube Total
1,E85,Don Toliver,35,"Cactus Jack / Donnway & Co / Atlantic Records, ℗ 2026 Donnway & Co LLC, under exclusive license to Atlantic Recording Corporationording Group",10.24,86,887,926,15.46,1881749,9362651,14054399,9.77,180297,1461946,2027942
2,POP DAT THANG,DaBaby,41,Interscope Records,8.54,41,314,521,9.91,430495,2013532,4774109,6.13,138446,792142,2395862
3,Homewrecker,sombr,7,SMB Music LLC under exclusive license to Warner Records,12.65,32,285,285,0,-,0,126349,123.45,659746,659746,1205315
4,Hippodrome (Fred Again.. Remix),Jamie T,6,-,100,16,29,32,-,-,-,-,-,-,-,-
5,Con Dios Por Delante,Corrido Tumbado De Fe Y Protección,1,-,17.07,14,85,96,-,-,-,-,0.37,6280,6280,1690082
6,Water,Brenn!,127,Darkroom Records/Westward Recordings,0.21,11,195,5216,0.34,24231,128773,7118558,0.15,461,3614,303074
7,keep steady,sosocamo,376,broke,0.37,10,201,2680,0.86,495376,2370810,57975362,1.08,42762,269324,4017393
8,Make U Whole,Andronicus,65,(p) Syncmaster Limited,8.57,9,82,114,1.14,23927,118517,2114360,0.84,2659,19233,317818
9,Afraid Of The Dark,Motionless In White,24,Roadrunner Records,3.8,9,139,246,12.47,440360,2159614,3972818,7.47,169455,1429596,2437923
10,Iguessicantkeepyouout,aWannabe,6,3630195 Records DK,5.48,8,67,154,0.78,21181,90339,2732433,0.38,3818,24604,1020102
11,What Could Go Wrong,Julia Cole,6,broke,25,8,24,40,4.9,12210,65572,261592,2.6,829,5973,32754
12,YAYA (feat. Blueface & India Love) [SheMix],"Compton Av, Steelz, Natalie Nunn & Lola Brooke",9,Rich Off Rap / Cook Gods / EMPIRE,18.6,8,37,51,10.1,34183,146188,372723,12.9,111685,515426,977545
13,oh the places i would take you if we werent so close to hell,drezzdon,14,drezzdon,1.19,7,67,597,1.08,11576,56090,1084188,1.18,507,3226,43330
14,Birthday Girl,Hunxho,62,300 Entertainment,0.23,7,137,3047,0.47,5277,24111,1127123,0.54,4620,32287,852527
15,someone new,Arden Jones,12,its nbd,0.64,7,119,1103,2.27,137711,663844,6210126,2.29,8075,58556,361060
16,Thinking 'bout You,STELLA LEFTY,11,STELLA LEFTY,3.1,7,41,233,2.11,175879,870855,8502220,1.41,4788,40164,345136
17,Curse Me Good,The Heavy,1,Counter Records,200,6,8,9,0.05,7110,29802,15294444,0.02,763,4837,4273277
18,See Wsp Witchu (feat. Guapogzz),Babii marrr,2,babii marrr,0.23,6,95,2661,-,-,-,-,-,-,-,-
19,the acronym,Ken Carson & Destroy Lonely,46,Opium/Interscope,0.81,6,109,748,1.07,175597,847210,16562789,0.89,27080,189195,3082366
20,tristón,Fuerza Regida,55,Fuerza Regida,46.15,6,17,19,25.35,978310,3899250,4837915,5.91,569108,5870286,10191014
21,Faster,Keharo,15,Keharo,1.09,5,84,462,3.92,3615,16206,95898,-,-,-,-
22,"Box Turtle, Magnificent Isn't She",Lady Radiator,142,Lady Radiator,0.09,5,82,5500,0.46,43566,206690,9538459,0.63,8062,56876,1297052
23,Kriss Vecc,MAF Teeski & BAK Jay,14,Dubb Block Entertainment / Artist Partner Group,71.43,5,12,12,2.66,61888,283572,2385753,1.89,13891,91380,748746
24,Gemstone,Don Toliver,9,"Cactus Jack / Donnway & Co / Atlantic Records, ℗ 2026 Donnway & Co LLC, under exclusive license to Atlantic Recording Corporationording Group",35.71,5,18,19,16.27,1191114,5792103,8511731,12.05,94574,676129,884665
25,Til The Morning,Royel Otis,4,OURNESS PTY,26.67,4,5,19,0.17,22332,105258,13007891,0.18,1023,7211,559779